system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,-0.0068224105,0.5390021,-0.052972972,2024-06-15,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.18580028,0.6578283,0.14572425,2024-06-15,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.11159306,0.52131146,0.10820215,2024-06-15,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.009701351,0.5242938,0.008221226,2024-06-15,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.0064006024,0.4668737,-0.039180942,2024-06-15,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.19513783,0.70365447,0.15918367,2024-06-15,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.05659075,0.396637,-0.10262874,2024-06-15,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-0.03555389,0.4515133,-0.081493065,2024-06-15,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.18946396,0.72955143,0.19835466,2024-06-15,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-0.034078967,0.427048,-0.07827176,2024-06-15,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.15059076,0.6948959,0.11040538,2024-06-15,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.16746575,0.74112254,0.16618076,2024-06-15,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.26604128,0.61410195,0.26410836,2024-06-15,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.23769686,0.71428573,0.20010328,2024-06-15,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.23773752,0.7229153,0.20488591,2024-06-15,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.22777417,0.7712475,0.23176242,2024-06-15,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.25346342,0.63908273,0.24357034,2024-06-15,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.31665394,0.8271196,0.29801846,2024-06-15,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.107403934,0.6844603,0.07611718,2024-06-15,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.21553884,0.55478436,0.22042342,2024-06-15,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.2580645,0.7480969,0.22550373,2024-06-15,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.03526255,0.44892472,0.023093343,2024-06-15,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.1298859,0.63919485,0.09265823,2024-06-15,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.0647402,0.59473383,0.04475115,2024-06-15,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.09235247,0.5612813,0.06615845,2024-06-15,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,-0.0018723081,0.49563214,-0.040689155,2024-06-15,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.19487983,0.6772554,0.12468049,2024-06-15,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,-0.004391358,0.4387614,-0.0449391,2024-06-15,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.110063635,0.6687211,0.06857425,2024-06-15,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
