system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.10405533,0.6354613,0.24150558,2024-12-22,25000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.09316585,0.54963976,0.08859415,2024-12-22,25001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.28786507,0.79391927,0.28579035,2024-12-22,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.02421214,0.5526622,0.006197722,2024-12-22,25003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.23389749,0.6823398,0.233938,2024-12-22,25004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-0.023092655,0.45239222,0.008550849,2024-12-22,25005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.04845815,0.49509948,-0.07069163,2024-12-22,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.023445465,0.4001237,-0.026369167,2024-12-22,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.104726166,0.56205595,0.06935889,2024-12-22,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.13615489,0.71855056,0.12731998,2024-12-22,25009,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.018116754,0.46232793,-0.14371309,2024-12-22,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.19473909,0.7101299,0.23841508,2024-12-22,25011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-0.080431625,0.44537288,-0.08225692,2024-12-22,25012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,-0.008230065,0.56615067,-0.04160221,2024-12-22,25013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.032477573,0.5316058,0.019731078,2024-12-22,25014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.14095202,0.60597014,0.079030976,2024-12-22,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,-0.014771049,0.58618706,0.057356607,2024-12-22,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,6.2017783E-4,0.5605901,0.010608323,2024-12-22,25017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.045994863,0.5624452,-0.026831673,2024-12-22,25018,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.024235658,0.52748513,-0.050580803,2024-12-22,25019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.09853884,0.6623343,0.10282996,2024-12-22,25020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.110009216,0.7054404,0.14155881,2024-12-22,25021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-0.045627933,0.56846076,-0.075493194,2024-12-22,25022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.3039765,0.7991552,0.302371,2024-12-22,25023,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.018101731,0.51272684,0.006404355,2024-12-22,25024,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.18785113,0.6990679,0.23015477,2024-12-22,25025,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-0.03505487,0.38287243,-0.09056503,2024-12-22,25026,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.03508772,0.5314371,0.03751804,2024-12-22,25027,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.016381294,0.48076224,-0.0438466,2024-12-22,25028,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,-0.1164836,0.48465046,-0.12508626,2024-12-22,25029,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.10458487,0.65027463,0.04530357,2024-12-22,25030,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,-0.0030498283,0.6365791,-0.044472765,2024-12-22,25031,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.1880221,0.56509113,0.16914082,2024-12-22,25032,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.03439254,0.5187821,0.05236523,2024-12-22,25033,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.1361085,0.57650375,0.054738466,2024-12-22,25034,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.059590124,0.64170676,0.020585425,2024-12-22,25035,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.22611098,0.7124689,0.14048706,2024-12-22,25036,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.050473794,0.6167759,0.07737991,2024-12-22,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.40665767,0.8292243,0.29263985,2024-12-22,25038,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.189496,0.7311192,0.1254265,2024-12-22,25039,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.010146392,0.6431679,-0.02361347,2024-12-22,25040,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.05670009,0.5337565,0.013536702,2024-12-22,25041,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.17254215,0.64954865,0.13185787,2024-12-22,25042,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.39304653,0.85413593,0.3724603,2024-12-22,25043,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.46944734,0.88136667,0.48257107,2024-12-22,25044,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,-0.0060581584,0.5857048,0.057604145,2024-12-22,25045,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.22791404,0.6173762,0.22692218,2024-12-22,25046,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.2928141,0.791462,0.3187523,2024-12-22,25047,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.009880282,0.634619,-0.06098822,2024-12-22,25048,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.4161758,0.8549766,0.42600334,2024-12-22,25049,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.04014017,0.5145704,0.017480524,2024-12-22,25050,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.030034654,0.5236426,0.018140033,2024-12-22,25051,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.2826297,0.6815125,0.30210277,2024-12-22,25052,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.25516856,0.71057516,0.22490099,2024-12-22,25053,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.2595961,0.7825328,0.33673084,2024-12-22,25054,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.193495,0.5546428,0.14336966,2024-12-22,25055,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.23226607,0.7029449,0.2707571,2024-12-22,25056,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,-0.0016737957,0.51780266,-0.00995355,2024-12-22,25057,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.08416542,0.46858868,0.09879861,2024-12-22,25058,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.15752757,0.76293296,0.106146485,2024-12-22,25059,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.021326402,0.474639,0.08829184,2024-12-22,25060,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.16068883,0.6494715,0.13449894,2024-12-22,25061,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.27132317,0.5405337,0.27521482,2024-12-22,25062,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.0584117,0.49880812,0.007482056,2024-12-22,25063,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.17626987,0.68079257,0.1821276,2024-12-22,25064,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.22026826,0.7416958,0.26876172,2024-12-22,25065,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,-0.011386861,0.48632094,-0.023343172,2024-12-22,25066,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.18329774,0.51171154,0.13426305,2024-12-22,25067,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.3023484,0.72574615,0.31282228,2024-12-22,25068,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.21461694,0.7345884,0.20263755,2024-12-22,25069,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.43676162,0.85447776,0.3388627,2024-12-22,25070,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.14702474,0.7321888,0.14546372,2024-12-22,25071,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.41964287,0.73512477,0.3128954,2024-12-22,25072,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,-0.0036967215,0.46000296,-0.0020335151,2024-12-22,25073,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0.39722285,0.8496542,0.38525862,2024-12-22,25074,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,-0.0356851,0.5021583,-0.091587715,2024-12-22,25075,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.04621212,0.6287753,0.10606722,2024-12-22,25076,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.22071783,0.66751057,0.20158735,2024-12-22,25077,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.10098819,0.68449676,0.06690804,2024-12-22,25078,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.036759872,0.524833,-0.019405415,2024-12-22,25079,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.28268155,0.6956938,0.2623516,2024-12-22,25080,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.14632958,0.64409846,0.13545696,2024-12-22,25081,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.21911411,0.83185196,0.13819341,2024-12-22,25082,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.07700227,0.5950627,0.08293232,2024-12-22,25083,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.081052884,0.5913881,0.089384444,2024-12-22,25084,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.21481533,0.7243755,0.13114063,2024-12-22,25085,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.08413793,0.59644574,0.018325904,2024-12-22,25086,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.1697268,0.74244916,0.09138878,2024-12-22,25087,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.13542601,0.6602597,0.13711414,2024-12-22,25088,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.010901377,0.535203,0.026964486,2024-12-22,25089,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.06923858,0.5733466,0.15982404,2024-12-22,25090,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.095985845,0.5719971,0.11745887,2024-12-22,25091,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.27920464,0.81252944,0.401311,2024-12-22,25092,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.5122311,0.87497795,0.49972156,2024-12-22,25093,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.4483858,0.8291956,0.44274122,2024-12-22,25094,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,0.43969536,0.8142129,0.39495757,2024-12-22,25095,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.054939758,0.55018866,0.023163138,2024-12-22,25096,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.05624297,0.6023246,0.0283729,2024-12-22,25097,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,0.033948507,0.5166835,0.037822213,2024-12-22,25098,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.2620402,0.76635516,0.28516787,2024-12-22,25099,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.07494895,0.696722,0.015126445,2024-12-22,25100,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.27888086,0.74206936,0.28946197,2024-12-22,25101,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.46884057,0.8430155,0.45943868,2024-12-22,25102,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.34377083,0.7857701,0.39736924,2024-12-22,25103,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.41412014,0.79616857,0.5162346,2024-12-22,25104,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.21568628,0.72592336,0.2562814,2024-12-22,25105,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.05245056,0.60280526,0.06518847,2024-12-22,25106,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.14550151,0.49334782,0.12701252,2024-12-22,25107,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.36595675,0.8031065,0.41472933,2024-12-22,25108,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.03628002,0.5906796,0.030181086,2024-12-22,25109,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,0.025744034,0.6602941,-0.047862925,2024-12-22,25110,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,0.33343354,0.99813086,-0.17544761,2024-12-22,25111,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.38759512,0.828034,0.333756,2024-12-22,25112,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.4141221,0.8671273,0.4200949,2024-12-22,25113,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.25518322,0.7067162,0.20822622,2024-12-22,25114,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.37575594,0.9017326,0.24025638,2024-12-22,25115,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.521345,0.89787877,0.5265897,2024-12-22,25116,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.29075396,0.7896547,0.25439087,2024-12-22,25117,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.20594919,0.6632836,0.18351741,2024-12-22,25118,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,0.21877086,0.75721806,0.26810488,2024-12-22,25119,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,0.3361573,0.83013237,0.35845405,2024-12-22,25120,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,0.29421383,1.0,0.4006291,2024-12-22,25121,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,0.40646714,0.8305145,0.40562794,2024-12-22,25122,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,0.29718965,0.88215905,0.25405383,2024-12-22,25123,"{""type"":""MultiPoint"",""coordinates"":[]}"
