system:index,NDII,NDVI,NDWI,date,point_id,.geo
6_0,0.017161421,0.56603605,-0.004495413,2024-11-27,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.10651943,0.43443775,0.055663425,2024-11-27,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.19580257,0.72199345,0.13387959,2024-11-27,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.062020898,0.6919419,0.11878695,2024-11-27,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.34183988,0.8664817,0.33815503,2024-11-27,25023,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.22229649,0.7467258,0.23482808,2024-11-27,25025,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.070713684,0.6688876,0.08232824,2024-11-27,25027,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.123036705,0.741834,0.13841514,2024-11-27,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.14105451,0.6837553,0.0895805,2024-11-27,25041,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.042460125,0.6662575,0.059376623,2024-11-27,25045,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.1274821,0.6083434,0.091579996,2024-11-27,25057,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.0694862,0.5440507,0.08326642,2024-11-27,25066,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.3830662,0.7861087,0.32002664,2024-11-27,25072,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.07999461,0.63889474,0.0507987,2024-11-27,25075,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.38170075,0.78773373,0.3978804,2024-11-27,25080,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.106447674,0.68984914,0.08377511,2024-11-27,25086,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.20235096,0.7500781,0.2020818,2024-11-27,25088,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.13018535,0.6388715,0.14023991,2024-11-27,25089,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.12521003,0.6607011,0.20623781,2024-11-27,25090,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.1457965,0.58858925,0.23449291,2024-11-27,25092,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.43541896,0.8787544,0.4470552,2024-11-27,25094,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.08472972,0.5853177,0.026965536,2024-11-27,25096,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.09115336,0.7293386,0.11974798,2024-11-27,25097,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,0.08500991,0.6391236,0.0765451,2024-11-27,25098,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.29126894,0.78738976,0.28767958,2024-11-27,25099,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.28242263,0.77950066,0.30286732,2024-11-27,25101,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.49515846,0.89678675,0.47287667,2024-11-27,25102,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.31301585,0.7258854,0.3362959,2024-11-27,25103,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.4324771,0.8588472,0.51519495,2024-11-27,25104,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.15137185,0.3670284,0.10592492,2024-11-27,25105,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.076072544,0.67173856,0.07392718,2024-11-27,25106,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.16978994,0.50321656,0.16956323,2024-11-27,25107,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.097078666,0.6913338,0.09777861,2024-11-27,25109,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.23365459,0.7263076,0.19627695,2024-11-27,25118,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,0.4235872,0.905487,0.47057983,2024-11-27,25125,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,0.09542941,0.66273624,-4.0605458E-4,2024-11-27,25128,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,0.3976043,0.87408656,0.28005105,2024-11-27,25131,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,0.35808745,0.8714478,0.3227998,2024-11-27,25132,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,0.24686192,0.73004353,0.23404256,2024-11-27,25134,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,0.32365617,0.82441413,0.26393366,2024-11-27,25135,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,0.16636492,0.5417926,0.1928321,2024-11-27,25136,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,0.07452858,0.6583671,-0.038280725,2024-11-27,25137,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,0.26567844,0.7598628,0.19688627,2024-11-27,25138,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,0.19421221,0.7069638,0.10017953,2024-11-27,25139,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,0.19422084,0.64869565,0.1969197,2024-11-27,25140,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,0.11036188,0.5594682,0.04603519,2024-11-27,25141,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,0.40522388,0.8414224,0.4077316,2024-11-27,25142,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,0.27073476,0.7984832,0.25948405,2024-11-27,25143,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,0.23711772,0.61144745,0.23310171,2024-11-27,25144,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,0.16370003,0.7567568,0.13953489,2024-11-27,25145,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,0.2561949,0.5883015,0.25954372,2024-11-27,25146,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,0.19606742,0.7425269,0.19899245,2024-11-27,25147,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,0.20711038,0.6843366,0.18900634,2024-11-27,25148,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,0.17437577,0.60980207,0.09327939,2024-11-27,25149,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,0.19683258,0.7070619,0.14335361,2024-11-27,25150,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,0.2348285,0.5402884,0.16372958,2024-11-27,25151,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,0.30918846,0.8099631,0.29014474,2024-11-27,25152,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,0.30481014,0.6487936,0.28358987,2024-11-27,25153,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,0.32283464,0.8425605,0.30963156,2024-11-27,25154,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,0.35066667,0.8374679,0.34777898,2024-11-27,25155,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,0.314587,0.80640066,0.30144092,2024-11-27,25156,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,0.2402272,0.71631205,0.22246535,2024-11-27,25157,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,0.105110094,0.5014426,0.094196804,2024-11-27,25158,"{""type"":""MultiPoint"",""coordinates"":[]}"
