system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.22786121,0.7777778,0.33718604,2024-10-23,25000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.18485618,0.70942247,0.18674827,2024-10-23,25001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.37487292,0.85495234,0.35063368,2024-10-23,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.23371647,0.7687896,0.23890063,2024-10-23,25003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.24907522,0.6998208,0.21797752,2024-10-23,25004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.10601398,0.46329913,0.074159905,2024-10-23,25005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.063519806,0.67794394,0.03886739,2024-10-23,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.17898667,0.49216005,0.07114578,2024-10-23,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.12748371,0.65273714,0.12024456,2024-10-23,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.21366024,0.686587,0.17158672,2024-10-23,25009,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.116119176,0.634931,0.036636136,2024-10-23,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.22864321,0.82661164,0.21916066,2024-10-23,25011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-0.033393737,0.5154038,-0.046121594,2024-10-23,25012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.023707382,0.57058823,-0.006049325,2024-10-23,25013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.2452623,0.7859892,0.25609097,2024-10-23,25014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.26912957,0.7777004,0.16952653,2024-10-23,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.15764642,0.79517215,0.18547119,2024-10-23,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.09635723,0.68568105,0.11320392,2024-10-23,25017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.18725786,0.747869,0.015641293,2024-10-23,25018,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.03367302,0.54168284,-0.07984263,2024-10-23,25019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.14851485,0.6332607,0.14569536,2024-10-23,25020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.13672183,0.7222222,0.17180116,2024-10-23,25021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.057654105,0.6687677,0.025511472,2024-10-23,25022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.39605683,0.89889365,0.39574778,2024-10-23,25023,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.15026948,0.64803386,0.11541422,2024-10-23,25024,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.24168287,0.7811058,0.22309355,2024-10-23,25025,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.035895698,0.47610217,-0.029209098,2024-10-23,25026,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.13394234,0.7320529,0.1333442,2024-10-23,25027,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.06266371,0.6084002,0.05638945,2024-10-23,25028,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.11301193,0.62185603,0.044401005,2024-10-23,25029,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.25630176,0.79000956,0.16383947,2024-10-23,25030,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.16683674,0.7120501,0.14524993,2024-10-23,25031,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.12955466,0.5832061,0.093305215,2024-10-23,25032,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.05459636,0.54253834,0.04388863,2024-10-23,25033,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.25399974,0.72568154,0.19534911,2024-10-23,25034,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.23607843,0.8057438,0.17909819,2024-10-23,25035,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.24429302,0.7062792,0.19433345,2024-10-23,25036,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.22282068,0.8210517,0.28420588,2024-10-23,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.3219005,0.73575675,0.3461643,2024-10-23,25038,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.22258593,0.66012526,0.16495751,2024-10-23,25039,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.1827425,0.74760664,0.1490701,2024-10-23,25040,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.17725588,0.7019882,0.10989549,2024-10-23,25041,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.32191262,0.7392849,0.28786805,2024-10-23,25042,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.3305955,0.78128797,0.28540114,2024-10-23,25043,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.454655,0.8435183,0.45674595,2024-10-23,25044,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.075255714,0.7302876,0.1458991,2024-10-23,25045,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.20069005,0.5644258,0.2088821,2024-10-23,25046,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.27775314,0.7572238,0.28500378,2024-10-23,25047,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.13377193,0.6292187,0.05445841,2024-10-23,25048,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.3673981,0.7314335,0.33045787,2024-10-23,25049,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.055778082,0.49703473,0.034352135,2024-10-23,25050,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.075853854,0.518894,0.030214628,2024-10-23,25051,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.27620462,0.7177827,0.23277418,2024-10-23,25052,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.27481672,0.7349919,0.27352124,2024-10-23,25053,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.3242776,0.78127044,0.33072406,2024-10-23,25054,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.21000221,0.6413793,0.23076923,2024-10-23,25055,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.28419057,0.71263194,0.24968944,2024-10-23,25056,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.24953195,0.7874808,0.23743258,2024-10-23,25057,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.121286124,0.5075248,0.04320851,2024-10-23,25058,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.20086044,0.7595308,0.17122142,2024-10-23,25059,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.21620914,0.7551582,0.25993583,2024-10-23,25060,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.082696564,0.4906173,0.028368995,2024-10-23,25061,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.16183779,0.35929567,0.13985482,2024-10-23,25062,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.3268403,0.8122744,0.3002119,2024-10-23,25063,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.13396057,0.61206305,0.09778296,2024-10-23,25064,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.17986315,0.7306065,0.18780252,2024-10-23,25065,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.115081534,0.6065432,0.06140665,2024-10-23,25066,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.2688105,0.6450147,0.2833956,2024-10-23,25067,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.21370855,0.6454875,0.20885898,2024-10-23,25068,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.17350158,0.70515096,0.15755627,2024-10-23,25069,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.37329376,0.80154145,0.2781955,2024-10-23,25070,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.09577603,0.6658673,0.061910827,2024-10-23,25071,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.29690367,0.6750705,0.22674122,2024-10-23,25072,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,0.25643897,0.77366114,0.22664803,2024-10-23,25073,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0.34021327,0.7217479,0.28245416,2024-10-23,25074,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.16020305,0.69471455,0.13420402,2024-10-23,25075,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.13739647,0.54354733,0.08903342,2024-10-23,25076,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.16142656,0.6219055,0.09496075,2024-10-23,25077,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.048379734,0.61499417,-0.0040934263,2024-10-23,25078,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.008784474,0.47810858,-0.0696649,2024-10-23,25079,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.36042237,0.80351424,0.34754544,2024-10-23,25080,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.08552632,0.53329027,0.06439309,2024-10-23,25081,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.1865658,0.59777373,0.10551974,2024-10-23,25082,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.057330105,0.4956835,0.0584815,2024-10-23,25083,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.056543548,0.55570745,0.047640968,2024-10-23,25084,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.2700663,0.6516369,0.20498268,2024-10-23,25085,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.13270043,0.715689,0.1257047,2024-10-23,25086,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.09498111,0.62739724,0.030355593,2024-10-23,25087,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.1889059,0.7440052,0.15851253,2024-10-23,25088,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.18749565,0.71295875,0.18908374,2024-10-23,25089,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.19370681,0.682782,0.24653807,2024-10-23,25090,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.16345088,0.71681976,0.17928633,2024-10-23,25091,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.26925245,0.75010425,0.32546267,2024-10-23,25092,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.45676276,0.8011696,0.43089432,2024-10-23,25093,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.35169116,0.74277997,0.327455,2024-10-23,25094,"{""type"":""MultiPoint"",""coordinates"":[]}"
