system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,-0.03509439,0.49078736,-0.10266327,2024-07-30,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.1892478,0.67893255,0.15158997,2024-07-30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.08061182,0.48701173,0.09048383,2024-07-30,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.034443595,0.49262258,-0.03963575,2024-07-30,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,-0.06303581,0.35326037,-0.10097782,2024-07-30,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.15267931,0.6679282,0.12328896,2024-07-30,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.10322754,0.31994924,-0.1483653,2024-07-30,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-0.072808556,0.40378582,-0.11986039,2024-07-30,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.16202478,0.7163948,0.15515015,2024-07-30,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-0.084795035,0.3284555,-0.12600318,2024-07-30,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.13043357,0.6566258,0.092872754,2024-07-30,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.07775675,0.6324118,0.06784419,2024-07-30,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.18977198,0.48806038,0.16726565,2024-07-30,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.19661395,0.69705486,0.16878694,2024-07-30,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.22977214,0.7270671,0.20196618,2024-07-30,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.17952389,0.74176157,0.18120734,2024-07-30,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.17671737,0.5757255,0.15728678,2024-07-30,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.22519325,0.7456227,0.20480917,2024-07-30,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.066938974,0.6639086,0.034575053,2024-07-30,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
