system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.24813631,0.74044156,0.29357615,2024-09-23,25000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.10369346,0.615199,0.082676366,2024-09-23,25001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.15180416,0.80206287,0.15796117,2024-09-23,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.24342903,0.7803328,0.22252233,2024-09-23,25003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.2747191,0.7233452,0.25483406,2024-09-23,25004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.2232321,0.6002394,0.20831451,2024-09-23,25005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.027295286,0.5688185,-0.05882353,2024-09-23,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.08340588,0.44363257,0.024824008,2024-09-23,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.12299116,0.65685,0.10461976,2024-09-23,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.16281432,0.6869301,0.14788005,2024-09-23,25009,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.11796875,0.69325155,0.047659215,2024-09-23,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.32537314,0.87383956,0.3440328,2024-09-23,25011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.094182216,0.6479773,0.059064995,2024-09-23,25012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.0053110775,0.59477127,-0.03595417,2024-09-23,25013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.28127098,0.83353883,0.29868996,2024-09-23,25014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.19021134,0.68386674,0.08273835,2024-09-23,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,-0.07010014,0.55774134,-0.10092515,2024-09-23,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,-0.021683205,0.530504,-0.0927673,2024-09-23,25017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.13916786,0.75094914,0.046754427,2024-09-23,25018,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.06483453,0.4865149,-0.1290786,2024-09-23,25019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.15231788,0.68828213,0.1259484,2024-09-23,25020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.059557773,0.623558,0.006966673,2024-09-23,25021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.07687016,0.6739271,0.06964399,2024-09-23,25022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.16072921,0.71865445,0.14674374,2024-09-23,25023,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.12706475,0.61066073,0.082450286,2024-09-23,25024,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,-0.0063441712,0.5261217,-0.010953994,2024-09-23,25025,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-0.057875313,0.43208757,-0.0838832,2024-09-23,25026,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.031782784,0.6099291,-0.0065645515,2024-09-23,25027,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.013214147,0.5510689,0.0141720055,2024-09-23,25028,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.10390849,0.63102233,0.050984353,2024-09-23,25029,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.0579194,0.740729,0.044305,2024-09-23,25030,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.17501546,0.78006876,0.12829448,2024-09-23,25031,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.040751014,0.5074918,0.014467339,2024-09-23,25032,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.067169145,0.53785384,0.05225225,2024-09-23,25033,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.24743937,0.7742438,0.20747934,2024-09-23,25034,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.10581467,0.7351408,0.06849315,2024-09-23,25035,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.21672772,0.6552331,0.1892575,2024-09-23,25036,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.15695067,0.6029144,0.078431375,2024-09-23,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.1450708,0.611132,0.14484233,2024-09-23,25038,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.17609392,0.62000877,0.08908555,2024-09-23,25039,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.19209282,0.75713336,0.1696113,2024-09-23,25040,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.05832722,0.62673724,-0.021691542,2024-09-23,25041,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.33151284,0.83095556,0.2970857,2024-09-23,25042,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.31360114,0.7689493,0.26931733,2024-09-23,25043,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.46824366,0.8750584,0.45118853,2024-09-23,25044,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,-0.01623867,0.5407503,-0.060910705,2024-09-23,25045,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.15808018,0.50424224,0.15000343,2024-09-23,25046,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.118592516,0.6424216,0.11568787,2024-09-23,25047,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.15438433,0.7490988,0.14460957,2024-09-23,25048,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.34254497,0.73878974,0.32251656,2024-09-23,25049,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,-0.034694184,0.4145468,-0.07318736,2024-09-23,25050,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.007394366,0.48169175,-0.03849696,2024-09-23,25051,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.21251555,0.74207526,0.18122098,2024-09-23,25052,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.11818366,0.6187895,0.10549044,2024-09-23,25053,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.112266116,0.63183475,0.11429164,2024-09-23,25054,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.07545702,0.5070491,0.13200657,2024-09-23,25055,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.116951376,0.6346912,0.10479574,2024-09-23,25056,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.29518768,0.79794604,0.2770144,2024-09-23,25057,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.07766828,0.49144253,0.049733266,2024-09-23,25058,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.17509542,0.7767549,0.14511743,2024-09-23,25059,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.22814116,0.8252917,0.25525916,2024-09-23,25060,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,-0.045518488,0.4684139,-0.10127503,2024-09-23,25061,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.106478415,0.5164535,0.10623451,2024-09-23,25062,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.31806394,0.83582544,0.31181857,2024-09-23,25063,"{""type"":""MultiPoint"",""coordinates"":[]}"
