system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.0062145367,0.48432815,0.19377466,2024-02-06,25000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,-0.10824988,0.35726857,-0.093132645,2024-02-06,25001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.078688525,0.6030607,0.087958455,2024-02-06,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.1150168,0.48277327,-0.106153846,2024-02-06,25003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.1919815,0.7086891,0.23754093,2024-02-06,25004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-0.07909439,0.4978204,-0.03292992,2024-02-06,25005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.15022255,0.39133108,-0.1562267,2024-02-06,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.014298978,0.429618,0.014481991,2024-02-06,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.012427286,0.45469376,-0.0028045003,2024-02-06,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.028985508,0.6267281,0.006558312,2024-02-06,25009,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-0.058335155,0.4958904,-0.051671732,2024-02-06,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.035593856,0.50066286,0.13768844,2024-02-06,25011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-0.15945147,0.39177853,-0.13027523,2024-02-06,25012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,-0.045385007,0.5827338,-0.045918368,2024-02-06,25013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.008310249,0.5263387,-0.010443128,2024-02-06,25014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,-0.07899336,0.28805396,-0.07168894,2024-02-06,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,-0.07081712,0.5120275,-0.020771513,2024-02-06,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,-0.12038794,0.38607365,-0.16586222,2024-02-06,25017,"{""type"":""MultiPoint"",""coordinates"":[]}"
