system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.18053454,0.74329394,0.30062407,2024-11-17,25000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.16969219,0.6805708,0.18544328,2024-11-17,25001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.37290582,0.85741484,0.33821064,2024-11-17,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.13164894,0.67940813,0.16335683,2024-11-17,25003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.28918746,0.7138902,0.25134772,2024-11-17,25004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.041405268,0.52243125,0.1585903,2024-11-17,25005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.043412894,0.61624485,0.03798904,2024-11-17,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.0518573,0.34979647,-0.017966436,2024-11-17,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.030670712,0.33459896,-0.011251758,2024-11-17,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.2022673,0.6741271,0.16619894,2024-11-17,25009,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.22160068,0.80384856,0.23266172,2024-11-17,25011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-0.062049862,0.48318434,-0.047827274,2024-11-17,25012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.03185012,0.5876759,0.0048146364,2024-11-17,25013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.23970433,0.7367668,0.25542915,2024-11-17,25014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.2548892,0.7608752,0.19308154,2024-11-17,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.11585014,0.74409664,0.15975899,2024-11-17,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.05863895,0.6696506,0.09279909,2024-11-17,25017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.15971917,0.72579265,0.02519725,2024-11-17,25018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,-0.03644407,0.25921938,-0.025213586,2024-11-17,25020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.17118543,0.77047324,0.19739364,2024-11-17,25021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-0.015246015,0.3403905,-0.014016266,2024-11-17,25022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.3585752,0.8762659,0.35397288,2024-11-17,25023,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.080899455,0.52,0.057513915,2024-11-17,25024,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.23160976,0.7538379,0.24631579,2024-11-17,25025,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-0.027585095,0.48914167,-0.05028854,2024-11-17,25026,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.13246062,0.7134368,0.14065935,2024-11-17,25027,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.11827957,0.6609873,0.07370799,2024-11-17,25029,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.21668434,0.7512828,0.1338675,2024-11-17,25030,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.061344158,0.5390476,0.076137625,2024-11-17,25033,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.31958762,0.672391,0.31464174,2024-11-17,25034,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.19972523,0.7585812,0.13767579,2024-11-17,25035,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.17244005,0.7905504,0.25675213,2024-11-17,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.3802627,0.7330716,0.3149665,2024-11-17,25038,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.2572453,0.71058315,0.12062257,2024-11-17,25039,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.16657759,0.6527977,0.103659704,2024-11-17,25041,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.39415482,0.8029228,0.4757348,2024-11-17,25042,"{""type"":""MultiPoint"",""coordinates"":[]}"
