system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,-0.061757587,0.4223105,-0.11891148,2024-07-15,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.17852019,0.64002234,0.13853317,2024-07-15,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.09210526,0.47218415,0.08786936,2024-07-15,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.040052384,0.4222119,-0.04461038,2024-07-15,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,-0.03810392,0.42842376,-0.08580283,2024-07-15,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.15180422,0.6711111,0.10084225,2024-07-15,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.09651064,0.35108152,-0.13876612,2024-07-15,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-0.0713364,0.40339354,-0.123139374,2024-07-15,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.16610776,0.7285098,0.15629949,2024-07-15,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-0.083152086,0.36406618,-0.1432103,2024-07-15,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.13110647,0.68134415,0.07449411,2024-07-15,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.1275383,0.66481334,0.09985528,2024-07-15,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.20788465,0.52303797,0.18065816,2024-07-15,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.18088737,0.659661,0.15322581,2024-07-15,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.20823504,0.7220384,0.1732499,2024-07-15,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.18696398,0.7376534,0.18731247,2024-07-15,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.1936944,0.55778366,0.16725978,2024-07-15,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.25284398,0.79067355,0.23637371,2024-07-15,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.056686807,0.6840085,0.018893285,2024-07-15,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.1707887,0.7735822,0.1469943,2024-07-15,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
