system:index,NDII,NDVI,NDWI,date,point_id,.geo
8_0,-0.050638903,0.43930003,-0.05865522,2024-03-22,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-0.026080187,0.5678851,-0.046447,2024-03-22,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.130582,0.4552352,-0.16408804,2024-03-22,25019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-0.071142286,0.50317395,-0.092488505,2024-03-22,25022,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,-0.036017437,0.46026987,-0.073704235,2024-03-22,25024,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-0.11189855,0.36426333,-0.1560985,2024-03-22,25026,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,-0.07606608,0.41489363,-0.07834456,2024-03-22,25028,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.013949433,0.56684095,-0.037614677,2024-03-22,25031,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,-0.012097695,0.47150996,-0.035255663,2024-03-22,25032,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.047539618,0.5819005,0.010112684,2024-03-22,25034,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.19222762,0.7368984,0.16499282,2024-03-22,25036,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,-0.015769944,0.55919003,-0.04484733,2024-03-22,25040,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.15082242,0.66290253,0.1324409,2024-03-22,25042,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.27470818,0.8149254,0.23980424,2024-03-22,25043,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.39088607,0.8626339,0.42149556,2024-03-22,25044,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.10593763,0.4477612,0.09295775,2024-03-22,25046,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.32542768,0.8857408,0.40120792,2024-03-22,25047,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,-0.020551378,0.6044712,-0.0435674,2024-03-22,25048,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,-0.040874865,0.45328718,-0.07062512,2024-03-22,25050,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,-0.013798837,0.5412647,-0.029198313,2024-03-22,25051,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.20991194,0.7201599,0.2191864,2024-03-22,25052,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.046355333,0.49571836,0.06377939,2024-03-22,25058,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.07450771,0.64097995,0.028762916,2024-03-22,25059,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,-0.07669323,0.48848686,-0.08862034,2024-03-22,25060,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.25998574,0.76476526,0.2550709,2024-03-22,25061,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.32065505,0.76161987,0.32985932,2024-03-22,25062,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.17448649,0.7116942,0.1610635,2024-03-22,25064,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.08275543,0.6341808,0.076779895,2024-03-22,25065,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.30968294,0.63807726,0.26630238,2024-03-22,25067,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.2622997,0.7714749,0.24985707,2024-03-22,25070,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.060582623,0.66411597,0.0627572,2024-03-22,25071,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.113300495,0.6253333,0.10366682,2024-03-22,25077,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,-0.022099448,0.67105263,-0.044214487,2024-03-22,25078,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,-0.037176274,0.53523237,-0.0960053,2024-03-22,25079,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.079574466,0.7087741,0.11876146,2024-03-22,25081,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.18312237,0.7985348,0.1498829,2024-03-22,25082,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.0476012,0.5111876,0.017971015,2024-03-22,25083,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,-0.0057293964,0.5158184,-0.017387427,2024-03-22,25084,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.14069112,0.60963243,0.020695198,2024-03-22,25085,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.05331992,0.63722533,0.0047593866,2024-03-22,25087,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.04899526,0.6452213,0.024548402,2024-03-22,25100,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.2190116,0.64305556,0.24134313,2024-03-22,25108,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,-0.03737518,0.6194825,-0.065026365,2024-03-22,25110,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.09823427,0.576444,0.07049475,2024-03-22,25114,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.4140875,0.8350017,0.41533548,2024-03-22,25116,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,0.2591471,0.7197049,0.25025538,2024-03-22,25122,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,0.14233053,0.7570093,0.07712649,2024-03-22,25124,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,0.05497501,0.62826854,0.05109489,2024-03-22,25126,"{""type"":""MultiPoint"",""coordinates"":[]}"
