system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.20998631,0.7841452,0.23585843,2024-12-07,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.36810127,0.84942967,0.3253406,2024-12-07,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.3618063,0.7277778,0.37020135,2024-12-07,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.14997484,0.67933595,0.06268986,2024-12-07,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.17511646,0.5823452,0.22083862,2024-12-07,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.34221599,0.8287256,0.318809,2024-12-07,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.058764942,0.5389049,0.05310621,2024-12-07,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.066945605,0.54964817,0.061333332,2024-12-07,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.29884678,0.8356676,0.29768977,2024-12-07,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.05027174,0.632948,-0.031226948,2024-12-07,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.2359488,0.79838365,0.21250358,2024-12-07,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.1298825,0.53710246,0.118971065,2024-12-07,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.35178998,0.7447321,0.36024407,2024-12-07,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.38363782,0.83580387,0.3576159,2024-12-07,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.30694354,0.8248392,0.26533425,2024-12-07,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.3195349,0.8268991,0.33454627,2024-12-07,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.36103076,0.830248,0.37772086,2024-12-07,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.41510084,0.8121597,0.27961817,2024-12-07,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.13065596,0.7237997,0.10489735,2024-12-07,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.27126148,0.800588,0.24638925,2024-12-07,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.4712039,0.87061554,0.50230837,2024-12-07,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.1336725,0.468948,0.09212556,2024-12-07,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.43381885,0.83823895,0.52342576,2024-12-07,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.0871994,0.6572293,0.06608495,2024-12-07,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.28932512,0.6893741,0.22423173,2024-12-07,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.13171387,0.66503185,0.12809083,2024-12-07,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.38255918,0.8179662,0.41581225,2024-12-07,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.10339951,0.53787243,0.07093459,2024-12-07,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.24135195,0.76364344,0.232506,2024-12-07,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.12286213,0.4379028,0.09469024,2024-12-07,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.24300632,0.76934177,0.25187197,2024-12-07,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.23608556,0.7223064,0.23342906,2024-12-07,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.3764677,0.78236324,0.42039502,2024-12-07,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.31517595,0.7699482,0.3809554,2024-12-07,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.5369237,0.8590592,0.46622816,2024-12-07,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.2101046,0.6197814,0.218192,2024-12-07,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.19200788,0.70303494,0.22127411,2024-12-07,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.20192605,0.62229156,0.21303184,2024-12-07,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.24329092,0.77572984,0.2574744,2024-12-07,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.18938397,0.64817184,0.19464803,2024-12-07,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.12310431,0.44645062,0.116248354,2024-12-07,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.26085895,0.8243026,0.19931754,2024-12-07,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.23571394,0.6408157,0.23593043,2024-12-07,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.2184546,0.6861574,0.2406233,2024-12-07,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.46370512,0.8328312,0.42678982,2024-12-07,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.15332586,0.47344664,0.11287829,2024-12-07,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.37739304,0.81042707,0.30093223,2024-12-07,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.055496357,0.60623765,0.065401405,2024-12-07,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.17494522,0.2717724,0.12526621,2024-12-07,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.050242484,0.62041885,0.005686434,2024-12-07,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.15369886,0.68597484,0.16903093,2024-12-07,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.29558232,0.8280414,0.18721038,2024-12-07,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.30081868,0.8139874,0.30094042,2024-12-07,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.083115526,0.64726025,0.046220772,2024-12-07,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.03041825,0.88169014,-0.008902078,2024-12-07,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.034427967,0.64140785,0.04178712,2024-12-07,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.29288825,0.7714286,0.28099173,2024-12-07,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.43069306,0.9160696,0.4613583,2024-12-07,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.14019273,0.6090909,0.12274025,2024-12-07,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.29672897,0.7745303,0.28961563,2024-12-07,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.21059063,0.6871683,0.16465518,2024-12-07,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.26599437,0.7790698,0.24643585,2024-12-07,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.5075097,0.91272396,0.51638746,2024-12-07,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.48867562,1.0,0.42758918,2024-12-07,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.5765529,1.0,0.5495579,2024-12-07,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.13725491,0.5658618,0.11984955,2024-12-07,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.33003983,0.84270597,0.35738307,2024-12-07,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.17966494,0.6418062,0.06517446,2024-12-07,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
