Model,R² train (orig),R² test (orig),MAE test (orig),R² train (trans),R² test (trans),MAE test (trans)
Linear Regression,0.5512352808989692,0.565340231974955,18.865246635438012,0.5668888385661579,0.5812815612154743,18.505972443964268
Decision Tree,0.6365958477458193,0.5118313538856003,19.40366774752849,0.6724805841533442,0.5500442111362707,18.49473312345947
Random Forest,0.8835353498860806,0.5543002058888854,18.85669716653707,0.9119180736003166,0.5951762862042131,17.886390815821418
Gradient Boosting,0.6765657382041945,0.5759420906405981,18.414241294121272,0.7115649949378933,0.6082955356159663,17.65110381030534
