lon,lat,date,LFMC
16.52046027986068,43.34274795134654,2024-01-02,145.0
16.85575948807177,43.33383584954838,2024-01-02,99.0
16.98088866906932,43.32777455095659,2024-01-02,119.0
16.560580332333718,43.32924116722453,2024-01-02,133.0
16.747112116526026,43.32186103537984,2024-01-02,137.0
16.771643943914555,43.317251538849185,2024-01-02,124.0
16.729983207743697,43.313657389711935,2024-01-02,105.0
16.747118225005874,43.30916482375361,2024-01-02,86.0
16.798237666120688,43.30323986330555,2024-01-02,135.0
16.707631964266824,43.29931624837673,2024-01-02,63.0
16.78338808561504,43.29293733215363,2024-01-02,134.0
17.054255833254235,43.28325942947974,2024-01-02,137.0
17.0574238072727,43.27852023838213,2024-01-02,152.0
16.63453264538289,43.281205092314096,2024-01-02,149.0
16.733577263722527,43.27524432735058,2024-01-02,137.0
16.628366928415794,43.27183840273148,2024-01-02,121.0
17.066834795058405,43.25800078476423,2024-01-02,110.0
17.086461319036463,43.24107638720966,2024-01-02,137.0
17.32850605543664,43.209480728672624,2024-01-02,149.0
17.340281608905908,43.20194685090241,2024-01-02,112.0
17.133316521625456,43.20023253691379,2024-01-02,132.0
16.63455570846024,43.20376626306552,2024-01-02,143.0
16.62531417535094,43.19876537333252,2024-01-02,137.0
17.355442373509643,43.180115277680116,2024-01-02,134.0
16.58841976393554,43.185686802023696,2024-01-02,108.0
16.53607492347683,43.17892791776243,2024-01-02,160.0
16.590591621039756,43.169808554231345,2024-01-02,140.0
16.768866890946708,43.15755568567707,2024-01-02,132.0
16.800851451593807,43.15354480914132,2024-01-02,140.0
16.57112369163876,43.154229490937674,2024-01-02,139.0
16.873946581906903,43.14678780053382,2024-01-02,156.0
16.802070061724937,43.14479119331707,2024-01-02,141.0
16.89663859668906,43.140921006754176,2024-01-02,132.0
16.894976936217578,43.13887750336112,2024-01-02,143.0
17.179754678328912,43.13209390617575,2024-01-02,117.0
16.973889708830956,43.13421122690127,2024-01-02,144.0
16.84788305119488,43.13478555265779,2024-01-02,138.0
16.991485207975327,43.130844682337084,2024-01-02,141.0
